H2Ofrac,length,radius,n_tot,T_est_condres,T_est_ac,Q_est_condres,Q_est_ac,T_RO_model,Q_RO_model,R,L,T_C,delta_rho,rho_bar,rho_mean,c_mean,mu_mean,ngas_mean,T_ac_analytic
0.600000,400.000000,10.000000,0.005000,27.094984,18.991499,2.799268,2.218732,NaN,NaN,10.000000,400.000000,1155.000000,320.219006,154.895345,155.096114,90.661192,2824.741287,0.004248,8.824062
0.600000,500.000000,10.000000,0.005000,24.781489,19.821023,2.513364,2.431543,NaN,NaN,10.000000,500.000000,1155.000000,568.302829,219.918819,220.349232,90.192791,2378.259724,0.004159,11.087361
0.600000,600.000000,10.000000,0.005000,30.388066,20.602609,1.979418,2.872515,NaN,NaN,10.000000,600.000000,1155.000000,984.267662,317.406759,318.267111,89.754636,2034.899014,0.004026,13.369783
0.600000,700.000000,10.000000,0.005000,35.190131,21.359184,1.819133,2.469667,43.405885,0.454710,10.000000,700.000000,1155.000000,1469.203768,458.410568,459.665723,89.596059,1767.506091,0.003838,15.625687
0.400000,400.000000,10.000000,0.002000,25.352220,17.645007,2.032131,1.759913,26.714427,3.225901,10.000000,400.000000,1155.000000,1979.035380,929.122414,930.015323,68.207143,641.433110,0.001408,11.728977
0.400000,500.000000,10.000000,0.002000,30.952025,17.040078,2.290794,1.834117,32.249591,3.900019,10.000000,500.000000,1155.000000,2187.289321,1197.166279,1197.421379,75.367674,539.759315,0.001363,13.268288
0.400000,600.000000,10.000000,0.002000,35.994848,16.574571,2.893375,1.803020,37.354167,4.344712,10.000000,600.000000,1155.000000,2286.929048,1399.531749,1399.193286,85.200687,470.666650,0.001329,14.084393
0.400000,700.000000,10.000000,0.002000,41.756607,17.332621,4.733209,1.528813,41.996461,4.653107,10.000000,700.000000,1155.000000,2345.074841,1554.919252,1554.089293,96.841181,420.773839,0.001303,14.456660
0.400000,600.000000,5.000000,0.002000,33.648800,20.215304,2.549899,1.628326,39.765836,1.298999,5.000000,600.000000,1155.000000,2286.929048,1399.531749,1399.193286,85.200687,470.666650,0.001329,14.084393
0.400000,600.000000,10.000000,0.002000,35.994848,16.574571,2.893375,1.803020,37.354167,4.344712,10.000000,600.000000,1155.000000,2286.929048,1399.531749,1399.193286,85.200687,470.666650,0.001329,14.084393
0.400000,600.000000,15.000000,0.002000,45.648384,15.871928,3.258390,2.204265,37.180003,7.877249,15.000000,600.000000,1155.000000,2286.929048,1399.531749,1399.193286,85.200687,470.666650,0.001329,14.084393
0.400000,600.000000,10.000000,0.001000,43.301363,13.100590,5.798755,2.679406,42.762737,7.219132,10.000000,600.000000,1155.000000,2220.488378,1979.926569,1978.129444,123.813319,241.271501,0.000587,9.692011
0.400000,600.000000,10.000000,0.002000,35.975330,16.574571,2.887269,1.803020,37.354167,4.344712,10.000000,600.000000,1155.000000,2286.929048,1399.531749,1399.193286,85.200687,470.666650,0.001329,14.084393
0.400000,600.000000,10.000000,0.003000,30.597103,19.668032,2.746020,1.768384,33.061895,2.272213,10.000000,600.000000,1155.000000,2069.368151,936.234345,937.009976,78.843726,819.463481,0.002195,15.219981
0.400000,600.000000,10.000000,0.004000,32.558449,20.417685,2.104529,2.623596,32.177589,1.013659,10.000000,600.000000,1155.000000,1602.016870,576.521631,577.672045,82.191735,1282.753565,0.003169,14.600008
0.400000,600.000000,10.000000,0.005000,34.195099,20.362141,1.883274,3.271845,199.255574,0.070679,10.000000,600.000000,1155.000000,986.086440,334.979592,335.807942,89.449955,1869.144646,0.004221,13.415322
0.200000,600.000000,10.000000,0.002000,35.764649,16.867663,2.737120,1.787058,36.960982,3.842978,10.000000,600.000000,1155.000000,2185.513802,1316.028692,1315.868129,82.463709,516.682744,0.001634,14.551856
0.400000,600.000000,10.000000,0.002000,35.994848,16.574571,2.893375,1.803020,37.354167,4.344712,10.000000,600.000000,1155.000000,2286.929048,1399.531749,1399.193286,85.200687,470.666650,0.001329,14.084393
0.600000,600.000000,10.000000,0.002000,36.170928,16.215470,3.240131,1.864427,37.659228,4.669746,10.000000,600.000000,1155.000000,2393.207694,1475.223907,1474.720449,91.036131,458.641530,0.001047,13.181580
0.800000,600.000000,10.000000,0.002000,36.188813,18.470831,3.395682,1.614462,38.178850,4.953454,10.000000,600.000000,1155.000000,2501.405130,1571.120053,1570.376128,108.858793,458.461210,0.000771,11.023455
